model,countries,correlation,slope,intercept
LogReg,17,0.8497986940340271,0.007622878479163,0.0678376181112519
RandForest,17,0.8807944101391566,0.0064007801777019,0.0716830301747753
GradientBoosting,17,0.814457050234573,0.0171173705556436,0.1754634570093312
LightGBM,17,0.8087134314386129,0.0178817871553916,0.1595254217720075
