scheme,resolution_deg,task,model,fidelity_regions,median_absolute_gain_drift,max_absolute_gain_drift,median_relative_gain_drift,cost_regions,total_wall_s,total_compute_s,total_processed_points,total_point_hours,max_peak_rss_mb,resolution_cached_regions,relationship,countries,correlation,era,era_label,source_summary
capacity,1.0,regression,LightGBM,19,0.0053467423407421,0.1207731239560597,0.0125445356289002,19,22.68872025306337,17.045049041102175,918,32188752,667.46875,19,all_europe,16,0.5406932421523359,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,1.0,regression,LightGBM,19,0.0053467423407421,0.1207731239560597,0.0125445356289002,19,22.68872025306337,17.045049041102175,918,32188752,667.46875,19,without_lithuania,15,0.555353855237234,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,2.0,classification,LogReg,19,0.0011936407501454,0.0312386785050438,0.030019398642091,19,21.545568460132927,15.311316542036366,266,9327024,670.34375,19,all_europe,10,0.8079250579311349,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,2.0,classification,LogReg,19,0.0011936407501454,0.0312386785050438,0.030019398642091,19,21.545568460132927,15.311316542036366,266,9327024,670.34375,19,without_lithuania,9,0.8138581443304559,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,2.0,classification,RandForest,19,0.0036170562297029,0.0269713282855775,0.0633763738624389,19,21.545568460132927,15.311316542036366,266,9327024,670.34375,19,all_europe,10,0.6750103312618038,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,2.0,classification,RandForest,19,0.0036170562297029,0.0269713282855775,0.0633763738624389,19,21.545568460132927,15.311316542036366,266,9327024,670.34375,19,without_lithuania,9,0.6940056609279048,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,2.0,regression,GradientBoosting,19,0.0127898426055523,0.1065103707243633,0.0398131212374479,19,21.545568460132927,15.311316542036366,266,9327024,670.34375,19,all_europe,16,0.5192622471759546,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,2.0,regression,GradientBoosting,19,0.0127898426055523,0.1065103707243633,0.0398131212374479,19,21.545568460132927,15.311316542036366,266,9327024,670.34375,19,without_lithuania,15,0.5336727548237439,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,2.0,regression,LightGBM,19,0.0141784943167435,0.1001484041095409,0.0411300147774399,19,21.545568460132927,15.311316542036366,266,9327024,670.34375,19,all_europe,16,0.5310339436908452,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,2.0,regression,LightGBM,19,0.0141784943167435,0.1001484041095409,0.0411300147774399,19,21.545568460132927,15.311316542036366,266,9327024,670.34375,19,without_lithuania,15,0.5457793391807081,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
