model,omitted_code,omitted_country,full_correlation,leave_one_out_correlation,change_from_full
LogReg,dk,Denmark,0.8497986940340271,0.7698622787017002,-0.0799364153323268
LogReg,nl,Netherlands,0.8497986940340271,0.8682836971008546,0.0184850030668275
LogReg,gr,Greece,0.8497986940340271,0.8576699126809241,0.0078712186468969
LogReg,be,Belgium,0.8497986940340271,0.8570308457745474,0.0072321517405202
LogReg,lt,Lithuania,0.8497986940340271,0.8675308820291219,0.0177321879950947
LogReg,hr,Croatia,0.8497986940340271,0.8484741166349126,-0.0013245773991145
LogReg,bg,Bulgaria,0.8497986940340271,0.8356191786585587,-0.0141795153754683
LogReg,lv,Latvia,0.8497986940340271,0.8435398819821672,-0.0062588120518598
LogReg,si,Slovenia,0.8497986940340271,0.838930017128843,-0.0108686769051841
LogReg,sk,Slovakia,0.8497986940340271,0.849757071102571,-4.1622931456042345e-05
LogReg,de,Germany,0.8497986940340271,0.8702827360009221,0.020484041966895
LogReg,at,Austria,0.8497986940340271,0.8574969540154586,0.0076982599814314
LogReg,pt,Portugal,0.8497986940340271,0.8725568281477222,0.022758134113695
LogReg,fr,France,0.8497986940340271,0.8493553037504807,-0.0004433902835463
LogReg,ro,Romania,0.8497986940340271,0.8503387506711366,0.0005400566371095
LogReg,cz,Czech Republic,0.8497986940340271,0.8382863488970538,-0.0115123451369733
LogReg,es,Spain,0.8497986940340271,0.851041432396683,0.0012427383626558
RandForest,dk,Denmark,0.8807944101391566,0.8285253709470539,-0.0522690391921026
RandForest,nl,Netherlands,0.8807944101391566,0.8786327456176053,-0.0021616645215513
RandForest,gr,Greece,0.8807944101391566,0.901865620856196,0.0210712107170393
RandForest,lt,Lithuania,0.8807944101391566,0.8922439094658455,0.0114494993266889
RandForest,be,Belgium,0.8807944101391566,0.8807139217972064,-8.048834195018006e-05
RandForest,hr,Croatia,0.8807944101391566,0.8821661268905794,0.0013717167514227
RandForest,bg,Bulgaria,0.8807944101391566,0.8710204962793316,-0.0097739138598249
RandForest,lv,Latvia,0.8807944101391566,0.877217707029322,-0.0035767031098346
RandForest,si,Slovenia,0.8807944101391566,0.8718404294529172,-0.0089539806862394
RandForest,sk,Slovakia,0.8807944101391566,0.8816199254423592,0.0008255153032026
RandForest,de,Germany,0.8807944101391566,0.8930573103349861,0.0122629001958295
RandForest,at,Austria,0.8807944101391566,0.8863829949738339,0.0055885848346772
RandForest,pt,Portugal,0.8807944101391566,0.8930076238080551,0.0122132136688984
RandForest,fr,France,0.8807944101391566,0.8810952151636774,0.0003008050245207
RandForest,cz,Czech Republic,0.8807944101391566,0.8834227652470094,0.0026283551078527
RandForest,ro,Romania,0.8807944101391566,0.8815907892649077,0.0007963791257511
RandForest,es,Spain,0.8807944101391566,0.8806899052905678,-0.0001045048485888
GradientBoosting,dk,Denmark,0.814457050234573,0.7783272745221393,-0.0361297757124337
GradientBoosting,nl,Netherlands,0.814457050234573,0.8466916886317668,0.0322346383971937
GradientBoosting,gr,Greece,0.814457050234573,0.8272239153399281,0.012766865105355
GradientBoosting,lt,Lithuania,0.814457050234573,0.8163267830975558,0.0018697328629827
GradientBoosting,be,Belgium,0.814457050234573,0.8328094265653153,0.0183523763307422
GradientBoosting,hr,Croatia,0.814457050234573,0.8124807692872091,-0.0019762809473639
GradientBoosting,lv,Latvia,0.814457050234573,0.8076060182970126,-0.0068510319375604
GradientBoosting,bg,Bulgaria,0.814457050234573,0.7973657530035059,-0.0170912972310671
GradientBoosting,si,Slovenia,0.814457050234573,0.8026570358441569,-0.0118000143904161
GradientBoosting,sk,Slovakia,0.814457050234573,0.8059715678327886,-0.0084854824017844
GradientBoosting,de,Germany,0.814457050234573,0.8097069899326423,-0.0047500603019307
GradientBoosting,at,Austria,0.814457050234573,0.8154679566291282,0.0010109063945551
GradientBoosting,pt,Portugal,0.814457050234573,0.8305648161260759,0.0161077658915028
GradientBoosting,fr,France,0.814457050234573,0.8317607367134523,0.0173036864788792
GradientBoosting,cz,Czech Republic,0.814457050234573,0.812308259118235,-0.002148791116338
GradientBoosting,ro,Romania,0.814457050234573,0.8173804080774622,0.0029233578428891
GradientBoosting,es,Spain,0.814457050234573,0.8149319984829583,0.0004749482483852
LightGBM,dk,Denmark,0.8087134314386129,0.7731621070166746,-0.0355513244219382
LightGBM,nl,Netherlands,0.8087134314386129,0.8346703768550146,0.0259569454164017
LightGBM,gr,Greece,0.8087134314386129,0.8223431775005922,0.0136297460619793
LightGBM,lt,Lithuania,0.8087134314386129,0.8094954765978978,0.0007820451592849
LightGBM,be,Belgium,0.8087134314386129,0.827486696973718,0.0187732655351051
